source,target,en_length,zh_length
His delayed reaction is a surprised gasp as he raises his arms over his face.,他迟钝地倒吸了一口冷气，举起双臂捂住脸。,77,20
The bear yanks his arms back down and thrusts the pill at his muzzle.,熊拽开他的手，把药片硬塞进他的嘴里。,69,18
"This time, the coyote opens his mouth willingly, maneuvering the pill to sit under his tongue.",这一次，郊狼主动张开了嘴，把药片含在舌头下面。,94,23
His movements feel almost robotic at this point.,他的动作像机器人一样生硬。,48,13
"To Cameron's immense relief, this seems to satisfy the bear, and Brian gets up from his crouching position, backing away.",熊似乎很是满意，他站起来退到了后面，这让Cameron如释重负。,121,32
"The coyote sits there a moment, then slowly drags himself under the table, huddling in a corner as tears well up in his eyes again.",郊狼先是坐了一会儿，然后慢慢爬到桌子底下，蜷缩在一个角落里，泪水再次夺眶而出。,131,39
"After going through all that, and knowing that there's plenty more to go through, Cameron longs for Devon more than he ever has before.",一想到噩梦恐怕远未结束，Cameron比以往任何时候都更加思念Devon。,135,37
He waits until the pill dissolves before asking the question that he dreads hearing the answer to.,他一直等到药片溶解，才提出那个问题，那个他害怕听到答案的问题。,98,31
"If this giant, violent bear had encountered Devon and Artie, there's no telling what he might have done to them.",没有人知道这头凶猛的巨熊会对Devon和Artie做什么。,112,29
His heart drops as the bear seems to hesitate.,对方似乎有些犹豫，Cameron的心沉了下来。,46,23
Cameron needs to know.,Cameron需要知道。,22,12
"He tone sounds genuine, and even though Cameron will never trust him, he has to hold on to some hope.",听起来他没有撒谎，尽管Cameron永远不会相信他，但自己绝不能放弃任何一丝希望。,101,41
"Cameron isn't sure how to respond to that, so he doesn't.",Cameron没有回答，他不确定该如何回答。,57,22
Brian shrugs.,Brian耸耸肩。,13,9
"It's quiet for a moment, and Brian moves to the other end of the trailer, opening the fridge and doing... whatever it is he does.",沉默了片刻后，Brian走到拖车的另一头，打开冰箱，在...无所谓在做什么。,129,38
Cameron doesn't bother keeping track.,Cameron不在乎。,37,11
Cameron blurts out the other question weighing heavy on his mind.,Cameron下意识说出了另一个压在他心头的问题。,65,25
Brian doesn't look back and just sighs again.,Brian只是叹了口气。,45,12
"Cameron doesn't ask any follow-up questions, feeling like he got his answer.",Cameron没有追问下去，他感觉自己得到了答案。,76,25
"The thought that Artie might be gone is too messed up for his drugged-up mind, especially because he feels certain that he can't be gone.",他那被麻醉了的大脑很是迷茫：Artie多半已经遇害了，然而他又确信Artie不会死，,137,42
"Cameron can't explain why, but he just feels it.",Cameron解释不出原因，但他就是有这种感觉。,48,24
"He feels Dev, and he feels Artie.",他感觉到了Dev，也感觉到了Artie。,33,20
"Brian stands next to the door, holding a plastic water bottle.",Brian站在门口，手里拿着一个塑料水瓶。,62,21
Cameron doesn't move.,Cameron一动也不动。,21,13
"But soon, the trip intensifies, and he hugs himself, the movement making his ribs ache from the earlier kicks.",然而很快，幻觉加剧了。他抱住自己，这个动作重新唤起了肋骨被踢打的疼痛。,110,35
He just watches the vivid colors and shapes of his hallucinations.,他呆呆地注视着那些生动的颜色和形状。,66,18
"Meanwhile, the acrid taste of Xanax lingers on his tongue.",与此同时，阿普唑仑强烈的苦味徘徊在他的舌尖。,58,22
He hadn't felt any pain.,疼痛纷纷离他远去。,24,9
"He doesn't feel any pain right now, either.",他不再疼痛。,43,6
"Not physically, at least.",至少身体上不再疼痛。,25,10
It's something deeper.,他陷入了沉思。,22,7
"It's about who he used to be, who he is now, and who he's about to become.",关于他过去是谁，现在是谁，以及他即将成为谁。,74,22
"Something profoundly terrible has happened, and it's changed everything.",发生了一件天崩地裂的大事。,72,13
"He knows that much, at least.",他只记得这么多。,29,8
"What he really wishes to know right now, is who the hell he even is.",至于现在，他只想弄清楚自己究竟是谁。,68,18
He tries to think back to what he last remembers.,他试图回想他最后记得的事情。,49,14
"Standing in front of everyone in the second grade, his trembling paws holding his book report.",他用颤抖的爪子握着他的读书报告，站在全体二年级学生面前。,94,28
"He clears his throat, trying to figure out how to put his sentences together in advance",他清了清嗓子，努力组织着语言。,87,15
"\""Speak up, Arturo! The whole class needs to hear you.\""",\,56,1
Arturo.,Arturo。,7,7
That's his name; Arturo Herrera.,他的名字是：Arturo Herrera。,32,21
He opens his eyes.,他睁开眼睛。,18,6
But how did he end up here?,他怎么会在这里？,27,8
Where are his classmates?,他的同学们呢？,25,7
"Second grade, or was it third?",二年级的同学，还是三年级的来着？,30,16
"No, he's positive that he's at least in high school.",不对，他肯定自己至少念过高中。,52,15
He tries again to remember what happened last.,他再次回想最后的记忆。,46,11
He was sitting in the junior parking lot with his girlfriend.,他和女朋友坐在停车场中。,61,12
She's was upset because another girl at school was being mean to her.,她被学校里的另一个女孩欺负了，她不高兴。,69,20
"She's a jaguar, sitting in the passenger seat of his beat up sedan, one of her feet up on the dash, and he's leaning toward her to kiss her on the cheek.",她是一只美洲豹，她坐在破旧轿车的副驾驶座位，她一只脚翘在仪表板上，他朝她倾斜，亲吻她的脸颊。,153,46
What's her name?,她的名字是什么？,16,8
Sara Mendoza.,Sara Mendoza。,13,13
Or was it Montoya?,又或者是Montoya？,18,12
"But now he remembers that they didn't last long at all, maybe only a semester, probably because he sucks at comforting people.",可他记得，他们根本没有交往多久，顶多一个学期，或许是因为他不擅长安慰别人吧。,126,38
He does always say the wrong thing at the wrong time.,他总是在错误的时间说错误的话。,53,15
"But he still had several girlfriends after her, up until...",不过分手以后，他又交了好几个女朋友，直到...,59,23
"His voice is so alien, so strange, it startles him a bit.",他的声音如此陌生、如此奇怪，这让他吓了一跳。,57,22
What's even more strange is how hard it is to even say her name.,而更奇怪的是，他连她的名字都念不利索。,64,19
"He stutters, and he has to chew around the syllables like he's biting at the letters.",他结结巴巴，必须像咀嚼音节那样咬着字说话。,85,21
"As he does, he notices a sour taste in his mouth, and he can smell vomit.",就在这时，他发现嘴里有一股酸味，还散发着呕吐物的恶臭。,73,27
"Looking at the forest floor in front of his face, and he sees a dried mess of what he's sure is the source of the smell.",看到森林的地上有一滩已经干涸的东西，他确信这就是气味的来源。,120,30
"Bits of something orange and mushy, and chunks of what he recognizes as jerky.",一些橙色的糊状物，以及依稀可辨的肉干片。,78,20
"Things are starting to come together, but it takes a long time, maybe even an hour as he goes in and out of consciousness.",事情有了眉目，但他花费很长时间，甚至足有一个小时才渐渐恢复清醒。,122,32
"Maria, Pueblo, Devon, psychology, graduation, behavioral tech, road trip, accident, Echo...",Maria，普韦布洛，Devon，心理学，毕业典礼，行为学，公路旅行，事故，回音镇...,91,44
"... Cameron, THC cartridge, visions, ghosts, panic, bear, gunshot--",...Cameron，大麻烟，幻觉，幽灵，恐慌，熊，枪击-,67,29
Gunshot.,枪击。,8,3
He's been shot.,他中枪了。,15,5
"It's only now that he realizes his current position: curled up on his side, arms folded up in front of his chest.",直到现在，他才留意自己的姿势：侧身蜷缩，双臂叠放在胸前。,113,28
"He tries to move his arms, but like everything else he's trying to do, it's very difficult.",他试图移动手臂，但这就像他试图做其他任何事一样，无比困难。,91,29
"His muscles feel unnervingly weak, and every time he moves, it comes with an uncontrollable twitching and trembling.",他的肌肉虚弱无力、不容乐观，每动一下，都会不由自主地抽搐...,116,31
"Arturo stares at his paws, watching the tremors, trying to quell the panic.",Arturo盯着他颤抖的爪子，努力平复自己的心情。,75,25
"Finally, he slowly manages to sit up.",终于，他缓缓坐起身。,37,10
"Immediately, dizziness overtakes him and he has to pause for several seconds before he's sure he's not going to fall back down.",眩晕感随即笼罩了他，他不得不中断几秒钟，好确定自己不会再倒下。,127,31
"Once he's sitting up, his stomach turns and he dry heaves, and that's when he feels the pain.",起身的那一刹那，他就感觉胃里翻江倒海，干呕不止，疼痛也在同一时间袭来。,93,35
"It's not terrible, but the deep, cold throb at the back of his head feels very... wrong.",然而最可怕的不是疼痛，而是后脑深处冰冷的...悸动。,88,26
"With a shaking paw, he reaches back, and finally feels the damage.",他把颤抖的爪子往后伸，感受到了真正的痛苦。,66,21
"The fur is crusted and matted, becoming a bit damp as he gets closer to the source.",蓬乱的毛上结了一层痂，越是接近源头，就越是湿润。,83,24
"His fingers brush over a slight gap, like there's a small crater in his fur.",他用手指扫过一个小小的缺口，仿佛他的皮肤上有一处塌陷。,76,27
"As he presses down, he realizes the crater goes past the fur, and past the skin, and then he feels something oddly hard, and almost sharp--",他下意识按了一下，进入那穿透了皮层的火山口，触摸到一个坚硬、锋利无比的-,139,36
"Arturo gasps, realizing the stiff, jagged thing he's running a finger over is his broken skull.",Arturo倒吸一口气，意识到那个僵硬、参差不齐的东西是他破碎的头骨。,95,35
"He jerks his paw away, breathing hard.",他猛地把爪子抽开，大口喘着粗气。,38,16
He was shot in the head.,他的头中枪了。,24,7
In the head.,他的头。,12,4
"He remembers deciding to run, since the shotgun wasn't loaded, but then the bear had taken out another gun, a handgun, and then--",他记得他决定逃跑，因为猎枪没有上膛。但随后，熊拿出了另一把枪，一把手枪，接着...,129,41
How is he alive?,他为什么还活着？,16,8
How long will he stay alive?,他还能活多久？,28,7
Is there a bullet in his brain right now?,他的脑袋里还有子弹吗？,41,11
"He knows he needs something, so he tries to ask for it.",他知道自己需要一些东西，于是便张开口。,55,19
"He struggles to not stutter, to say the right word that he knows he's trying to use.",他努力寻找脑海中正确的词。,84,13
"He knows that this is very, very bad.",他知道大事不妙了。,37,9
"Devon was hurt too, maybe even killed.",Devon也遭遇了不测，甚至命悬一线。,38,19
"And Cameron, he was already hurt, and it was a monster in this forest that hurt him.",而Cameron，他从一开始就受了伤，被森林里的一个怪物害的。,84,31
"The cat brings his knees up to his chest, putting his arms around them like he's child.",猫把膝盖抬到胸前，像孩子似的搂住。,87,17
"He feels like a child, helpless and completely confused as he sits injured in this terrible forest.",他感觉自己就像一个困惑而无助的孩子，坐在这片可怕的森林里，遍体鳞伤。,99,34
"This must be some kind of awful dream, and he wants to wake up, but even though everything feels unfamiliar, surreal, dreamlike, he knows this is real.",这一定是场噩梦，他想要醒来，但尽管周围的一切是如此陌生、超现实，又梦幻，他知道这就是现实。,151,45
"Arturo feels his face crumple as he starts to cry, pushing his forehead against his knees.",Arturo把沮丧的脸埋进膝盖，哭了起来。,90,21
"No, wrong word.",不，不对。,15,5
There's some relief as Arturo feels like he's improving at least a little bit.,至少有点进步，Arturo松了口气。,78,18
Maybe this is only temporary?,也许这只是暂时的？,29,9
He'd been told several times in his psych and neuroscience courses that the brain is plastic.,他不止一次在心理学和神经科学的课程中学到，大脑是可塑的。,93,28
"The fact that he's recalling these memories, making sense of these memories, gives him hope, but there are still certain things, very simple things, that are missing.",他正在回忆这些记忆，理解这些记忆，这点燃了他的希望。但仍有一些东西，非常简单的东西缺失了。,166,45
"Arturo jerks his head to look up, heaving again as another wave of dizziness and nausea sweeps through him.",Arturo猛地抬起头，又一阵眩晕和恶心穿透了他的身体。,107,28
"He looks in the direction of the sound, and sees a trailer, partially hidden behind tree trunks and bushes, about thirty feet away.",他朝声音的方向望去，看到一辆隐藏在树干和灌木丛后面的拖车房，估计有十米开外。,131,38
"His right ear pops loudly several times and he rubs at it, feeling fluid come out.",他的右耳‘砰’地响了好几下，他揉了揉，好像有液体流出。,82,27
He knows it's blood.,他知道那是血。,20,7
"The cat slowly begins to stand up, and immediately gets a terrible shock as he realizes the weakness he'd felt in his arms is also in his legs.",猫慢慢地站起来，忽然身体一沉：他胳膊上的无力感同样表现在了腿上。,143,32
"He struggles and stumbles his way to the tree, trying not to panic again before finally leaning up against it.",他尽力不让自己惊慌失措，并跌跌撞撞地走到一棵树前，靠在了树干上。,110,32
Arturo realizes he's not the only one in this nightmare.,Arturo这才发觉噩梦中并不只有他自己。,56,21
Did the monster come back for Cam?,那个怪物回来找Cam了吗？,34,13
"Arturo starts moving toward the trailer before it dawns on his shattered, bewildered mind that he's looking at that bear's trailer.",Arturo开始朝拖车走去，直到他支离破碎、迷惑不解的大脑意识到那是那头熊的地盘。,131,41
"The one that shot him, and he must have Cameron in there.",就是那个朝他开枪的人，他肯定把Cameron关在里面。,57,27
"Arturo flinches back at the sound, and his fur bristles out along his spine, eyes wide as Cameron's screaming echoes through the forest.",听到Cameron回荡在森林里的尖叫声，Arturo惊恐地睁大了眼睛，只感觉毛骨悚然。,136,43
"The cat looks around helplessly, hoping that Devon does come to help.",猫无助地环顾四周，希望Devon能来帮忙。,69,21
"Even though that evil bear is bigger, Devon's a pretty big bear too, and he would stand a much better chance than he himself would.",尽管比不上那头恶熊壮硕，但Devon好歹也是一头熊，他的胜算比自己大得多。,131,37
"Thuds followed by yelps and howls come next and finally, it's too much for Arturo.",而后是‘扑通’一声，接着是尖叫与哀嚎，Arturo实在听不下去了。,82,33
"He can't go in there like this, he knows that, but he can get help.",他知道自己不能就这样进去，但他可以寻求帮助。,67,22
Maybe.,也许吧。,6,4
"Depending on how bad it is, these problems he's having could get a lot worse over the course of just a few hours.",视情况而定，他的病情可能会在短短几个小时内迅速恶化。,113,26
But he has no choice.,但他别无选择。,21,7
"While he knows he has a car, he also knows that he can't use it, even though he can't remember why.",他记得自己有一辆开不了的车，虽然他也不清楚为什么。,99,25
"He remembers that there's a highway, the one that they should have gone to the second he got here.",他还记得有一条高速公路，就是他们本来该走的那条。,98,24
He needs to get them all help.,他要救他们所有人。,30,9
"So, with one more terrified look at that trailer, he starts to make his way out of the forest.",想到这里，他最后看了拖车一眼，动身朝森林外走去。,94,24
"At first, Arturo is filled with a sense of hopelessness as he finds out just how hard it is to walk, with his right side being almost limp.",起初，Arturo充满了绝望：他的右侧身体近乎瘫痪。,139,26
It's feels like half of his muscles have just wasted away.,就像是有一半的肌肉都萎缩了。,58,14
"But, after some trial and error, he finds that if he widens his stance a bit, and swings his arms in a way that looks a bit lopsided, he's able to keep his balance.",但经过一些失误与尝试，他发现如果把步子放宽，并不对称地甩动双臂，自己就能够保持平衡。,164,42
"His pace is reasonable as well, so, swallowing down his panic again, he makes his way back onto the dirt road.",走路的速度也可以接受。于是他抑制住自己的恐惧，回到了土路上。,110,30
"Even through the disbelief of his situation, and even though he's terrified for Cameron and Devon, he feels something deep down that's even worse.",尽管Cameron和Devon的遭遇令他惊恐不已，尽管对自己现在的处境难以置信，却仍有一种更糟的感觉卡在Arturo的心底。,146,62
"He tries to ignore it, but it gnaws at the back of his brain.",他试图无视这种感觉，却无视不了被啃噬的后脑勺。,61,23
He's dying.,他知道。,11,4
And he can feel it.,他快死了。,19,5
"Devon struggles with his handcuffs, trying to get the chain into the position that he wants.",Devon吃力地把链条弄到合适的位置。,92,19
"He pulls his paws up until the chain is taut, then moves slowly in a circle around the bolt, until the chain twists on itself.",他用爪子把链条绷紧，然后围绕着螺栓慢慢旋转，使得链条整个扭曲起来。,126,33
"That was the easy part, and based on the tension he felt being put on the chain links, he had been feeling pretty confident.",这不是复杂的操作，并且基于链条上的张力判断，他对于成功很有信心。,124,32
But then he'd spent what feels like the last hour trying to actually put enough force and weight into the motion so that the chain would break.,他花了几乎一个小时的时间，在动作中施加足够的力和重量，好使链条断裂。,143,34
"While the twisted chain is taking most of the pressure off his own wrists, it still hurts.",虽然扭曲的链条大大缓解了他手腕上的压力，但疼痛依旧不减。,90,28
"Devon can see through his fur that he's already starting to bleed from his wrists, and fur is coming off in small tufts with each failed twist and jerk.",Devon手腕上的毛发在一次次失败的尝试中脱落了一簇又一簇，鲜血肉眼可见。,152,37
"After another failed heave, Devon slumps with his paws pressed to the floor of the van, gasping and sweating.",又一次失败，Devon双手猛地拍在货车的地板，耷拉着脑袋，口喘粗气，大汗淋漓。,109,39
A wave of dizziness comes over him and he ends up pressing his face to the metal floor.,一阵眩晕袭向他，他无奈地趴下。,87,15
"Devon half-heartedly prays, just in case there is something above all of this.",Devon不信神，却也分出一半心思向祂祈祷。,78,22
Footsteps.,脚步声。,10,4
"Devon scrambles to twist back around and step over the anchoring bolt so that his paws are behind him again, sitting up to face the back door of the van.",Devon急忙扭回身子，跨过螺栓，使爪子重新背在身后，面朝货车的后门坐好。,153,37
"It opens, and Devon finds himself staring at the bear that did this to him.",门开了，来者正是对Devon下手的那头熊。,75,21
"Even though he doesn't want Cameron anywhere near this man, seeing that the coyote isn't there with Brian sends panic through the younger bear.",Devon虽不想让这个男人接近Cameron，但看到郊狼没有和Brian在一起，年轻的熊不禁惊恐万分。,143,51
Devon watches with dread as he sees the huge bear holding that water bottle.,Devon提心吊胆地看着巨熊手里的水瓶。,76,20
"His teeth snap together, and the next thing the bear knows is that his head is resting against the metal cage partition that separates the back of the van from the seats.",下一个瞬间，他发现自己咬紧了牙齿，不偏不倚地飞向将驾驶室与车厢分隔开的金属栅栏。,170,40
"Dazed, his chin is on his chest, his arms under his back, forcing him to arch his chest and stomach toward the van's roof.",他神志不清地垂下头，背后的双臂迫使他顶起胸部和腹部。,122,26
"Then Brian is on him, pressing the bottle to his lips.",接着Brian压住他，把瓶子抵在他的嘴唇上。,54,22
"Dazed from the punch, Devon can only mumble in protest.",Devon被这一拳打得头晕目眩，只能喃喃自语以示抗议。,55,27
"Devon sees the look in the other bear's eyes, and he knows that eventually he's going to have to drink from the bottle again.",Devon注视着另一头熊的眼睛，他知道对方无论如何也要让他把水喝下去。,125,35
"Feeling completely defeated, Devon can only plead with the man.",见抵抗无望，Devon只能向对方求情。,63,19
Brian grabs Devon's chest fur in both paws and hauls him up so he's sitting in a more upright position.,Brian攥住Devon的胸毛，把他拎了起来。,103,23
But Devon can't shut up.,但Devon不能。,24,9
He's half-convinced that Cameron is already dead.,除非他确定了Cameron的消息。,49,17
Devon just stares.,Devon狠狠地盯着熊。,18,12
"Of course, he knows that Brian doesn't need an excuse, that if he really wants to hurt Cameron, he can.",他知道Brian不需要找理由来伤害Cameron，因为没有谁能阻止他。,103,35
Because there's nothing Devon can do.,因为Devon什么也做不到。,37,14
"He can only do what the older bear tells him to do, so he opens his mouth.",除了屈服于这头巨熊。,74,10
"Slowly, Brian pours the slightly bitter water into his mouth, and Devon drinks.",Brian把略带苦味的水慢慢倒进他嘴里，Devon喝了。,79,28
"Even though his body wants to keep drinking, Devon starts to pull back after only a few swallows, as if he's had enough, and doesn't even suspect the water is drugged.",尽管身体渴求着更多水，但Devon只喝了几口就开始往回缩，他甚至没有怀疑水里被下了药。,167,43
"But Brian pushes the bottle hard enough that Devon's lips are painfully mashed between the plastic and his own teeth, and he's forced to keep drinking.",然而Brian不管这些，他用力推动瓶子。为了逃避嘴唇被塑料和自己牙齿挤压的痛苦，Devon只得继续喝下去。,151,53
"Even when he lets a tiny bit dribble out from the corner of his mouth, Brian growls more threats at him.",即使从嘴角流出一点点水，Brian都会吼出更多威胁。,104,26
"Eventually, the water is gone, and Devon hangs his head in defeat as Brian pulls back, backing out of the van.",终于，水喝完了。Brian从丧气的Devon那里抽回瓶子，退出了货车。,110,35
"Devon squeezes his eyes shut, wishing this fucking bear would just tell him what's happening, what he's doing to Cameron, why he's keeping him alive.",Devon紧紧闭上眼睛，他希望知道发生了什么，那头该死的熊对Cameron做了什么，为什么要让他活着。,149,51
"But the younger bear is too afraid to talk, too afraid of what Brian might do, and without another word, the van door is slammed shut.",但年轻的熊过于害怕Brian，害怕对方的行径。不等他开口，货车门‘砰’地关上了。,134,40
"Cameron stays under the table, the Xanax having kicked in fully by this point, leaving the coyote in a bit of a quiet, stoic haze.",Cameron躲在桌子底下，阿普唑仑此时已经完全起效，给郊狼披上一片寂静的阴霾。,130,40
"His sobbing has trailed off, not much emotion left in him, aside from feeling numb.",他渐渐停止了抽泣，除了麻木之外，他基本上没留下多少感情。,83,28
"His trip is getting more and more intense, and he knows that the peak is nearing, maybe in another half-an-hour.",幻觉愈发强烈，也许再过半个小时就将抵达高峰。,112,22
"Still, he begins to notice things that he's sure aren't part of his trip.",不过现在，他留意到一些他确信不属于幻觉的事物。,73,23
"A presence, not too far away, one that he knows very well.",一个他十分熟悉的存在，就在不远处。,58,17
Dev.,Dev。,4,4
"With no idea what he's doing, he instinctively reaches out toward that warm energy, but then he's interrupted by another presence he doesn't recognize, one that's much closer.",无所适从的他本能地把手伸向那股温暖的能量，却紧接着被另一个陌生的、离他更近的存在打断了。,175,44
"Cameron gets on his paws and knees, looking out from under the table.",Cameron用爪子和膝盖支撑起身体，从桌子底下往外看。,69,28
This vision is definitely different than anything he's experienced before.,这一幕有别于以往的任何经历。,74,14
"Unlike the dream-like, reality-altering, psilocybin, the vision he's entered has a clarity to it, like he's not even tripping at all.",不是梦幻般扭曲的现实，他视野清晰，致幻菇的效力全然不见了踪影。,133,31
"The figure of something... someone appears before him, and Cameron knows everything immediately.",一个人的...轮廓出现在了他面前，Cameron顿时了解了。,96,30
"Benjamin Kowalski, a rabbit, born in 1977, ran away from his Pueblo home when he was sixteen.",Benjamin Kowalski，兔子，1977年生，十六岁时离家出走。,93,37
"For several years, he moved from city to city, sometimes in surrounding states, before settling in Payton.",他漂泊多年，辗转于城市之间，并最终在佩顿扎根。,106,23
"He stocked shelves at a grocery store, and the extra money he saved up would fund his weed supply.",他干着在超市里摆货架的活儿，把省下的钱全部用来购买大麻。,98,28
Brian was his dealer.,从他的供货商Brian那里。,21,14
"In September, 1998, he agreed to let Brian take him to his trailer home in Echo.",1998年9月，他接受了Brian的邀请，前往对方位于回音镇的拖车房。,80,35
"He was promised two ounces of weed in exchange for one night of \""love-making\"", as the bear had put it.",熊向他承诺，作为‘一夜情’的代价，他可以得到两盎司大麻。,104,28
"Benjamin wasn't gay, and even if he was, he was pretty sure Brian wouldn't be his type.",Benjamin不是同性恋，即使是，他也很确定自己不喜欢Brian这种类型。,87,38
"Two ounces was a lot, though, and way too good to pass up.",但两盎司实在太诱人了，机会难得。,58,16
"After four days of torture, Brian accidentally strangled him for too long, and Benjamin didn't regain consciousness.",经过四天的折磨，Brian不小心把他勒过了头。至此，Benjamin永远沉睡了下去。,116,42
"Of course, Brian planned on killing him anyway, so he did.",当然，Brian本来就打算杀了他。,58,17
The bear was only disappointed that he didn't get a few more days with him.,只是让熊失望的是，他们没能多相处几天。,75,19
"Timothy Esposito was a skunk born in 1985 in a decaying, industrial Midwestern city.",Timothy Esposito，一只臭鼬，1985年出生于美国中西部一个衰败的工业城市。,84,45
"He transplanted to Mesa, and in May 2005, that was where he attended a BDSM-themed event in an unused warehouse.",2005年5月，他搬到了梅萨，并在一间闲置仓库里参加了一场BDSM主题的派对。,112,39
"He liked breath-play, and so did Brian, so they fooled around a bit.",他喜欢窒息Play，Brian也喜欢，于是二人一拍即合。,68,28
"He didn't much like Brian, but the bear liked him a lot.",他并不怎么中意Brian，可熊非常中意他。,56,21
"Brian liked him so much, in fact, that he followed the skunk as he walked home after the event and kidnapped him on an empty street.",准确来说，是中意到不得了。以至于派对结束后，他一路尾随臭鼬，趁四下无人时绑架了对方。,132,42
"Timothy was strong, and almost escaped multiple times, once managing to leave the trailer before being caught just a few dozen feet from the dirt road.",Timothy是一个坚强的人，他多次险些逃脱，最近的一次离土路只有十几米远。,151,38
"Brian continued their breath-play, except now it wasn't play at all, and after two weeks, Brian again suffocated his victim for too long.",Brian不停玩着他那已经算不上是游戏的窒息Play。两周后，又一个受害者消逝在了Brian的手下。,137,50
"This time, Brian thought he was fairly successful in keeping his victim alive that long.",不过这一次，Brian对自己的‘照料’甚是满意。,88,24
Daniel Gallegos was a ferret born in 1996.,Daniel Gallegos，一只1996年生的雪貂。,42,28
"He was from the Sonoran capital, but was staying with family in Mill City to work a summer job.",他的故乡是索诺兰的首都，不过正和家人一起在米尔市做暑期工。,95,29
He was saving up money for his university tuition.,为了赚大学学费。,50,8
"In August 2014, days before he was meant to head back to Sonora, he met Brian outside a club before being kidnapped and driven to Echo.",2014年8月，在他本应返回索诺兰的几天前，他在一家夜总会外遇到了Brian，随后被绑架到回音镇。,135,49
"Brian was able to keep him for an entire month, and even though a few of Brian's customers had seen him tied to the torture rack, no one said a thing.",Brian‘养’了他整整一个月，尽管有客户看到他被绑在刑架上，但谁也没有出声。,150,39
"Eventually, Brian seemed to decide he'd gotten all he could out of the ferret, and he bludgeoned Daniel to death with an old tire iron, just because he wanted to try something different.",最后，Brian用一根旧撬棍结束了Daniel的生命，只因为他觉得自己已经从雪貂身上得到了所有想要的，是时候尝试新鲜东西了。,186,62
"The bear couldn't believe how long it took, how hard he had to hit the kid before he finally, finally stopped moving.",熊花了常人难以想象的力气和时间，才把那孩子殴打到不再动弹。,117,29
Cameron is jolted back to reality as he yanked up by his shirt so he's not even touching the floor.,Cameron被一股力拽到空中，惊回了现实。,99,22
Brian's paws hold the front of his shirt while shaking him violently.,Brian剧烈摇晃着他的衬衫。,69,15
Cameron kicks around to try and get his feet on solid ground again.,Cameron不断踢腿，试图重新踏上坚实的地面。,67,24
"Despite being almost overwhelmed by the numbing calm of Xanax, it's not enough to stop the primal fear Cameron has of this bear.",阿普唑仑带来的麻木几乎支配了Cameron，但还不足以掩盖他对这头熊最原始的恐惧。,128,41
Especially not after seeing the horrors he committed on those men.,特别是在看到他犯下的种种罪行之后。,66,17
"What he'd just seen was condensed, distilled into an easy-to-follow series of events, but all the while, he'd absorbed all the tiny details, too.",刚刚的那一系列事件被浓缩、提炼成了便于理解的东西，但同时，他也吸收了所有微小的细节。,145,42
"He knows Brian promised these men many things, that he'd only keep them for one, two, three more days before letting them go.",他知道Brian向那些人承诺了很多事情，譬如他们只需要再多待一天、两天、三天。,125,39
"That if they'd just be a little more quiet, he'd let them go.",只要他们乖乖的，他就会放他们离开。,61,17
But Cameron knows none of those promises were kept.,然而没有一个承诺被兑现。,51,12
"The visions had been so real that to Cameron, it felt like he'd been there for everything they went through.",这些幻觉如此真实，乃至Cameron觉得这就是他自己的亲身经历。,108,32
"Luckily, he hadn't felt anything, but it was as if he was in the room with them... this room.",好在他不曾感觉到疼痛。,93,11
"Brian seems to gain some control over himself, and lets go of the coyote.",Brian似乎控制住了自己，他放开郊狼。,73,20
"Cameron isn't able to stand with his weak, shaking legs and sits down heavily on the ground, looking up at the looming bear.",Cameron孱弱的双腿无法站立，他重重地跌坐在地上，抬头仰望耸立在面前的熊。,124,39
"Brian waits, looking more impatient the more Cameron stammers, which only makes him stammer more.",Cameron越结巴，Brian就显得越不耐烦，而这只会让Cameron更加说不清话。,97,43
"He reaches down, and Cameron cringes as he's yanked up to his feet again.",他伸出手，把吓得直哆嗦的Cameron重新拉起来。,73,25
"It's clear that Brian wants him to keep standing this time, so he does, steadying himself against the table behind him.",很明显，Brian想让他站好，于是他照做了，靠着身后的桌子支撑住自己。,119,35
"He does his best to stop, but the sobs keep coming.",他竭力抑制住抽泣，却还是忍不住流泪。,51,18
"Brian, The visions, the people he'd just felt, it's not an easy thing to just shrug off.",Brian、幻觉、还有刚刚感受到的那些人，怎么可能轻易就翻过去。,88,32
"Cameron's mouth dries up even more, his tongue now sandpaper against the roof of his mouth as fear helps shock him into a statue-like state.",Cameron的嘴唇更干了。在恐惧的作用下，他就像一尊雕像一样动弹不得，只是呆呆地用砂纸般的舌头摩擦上颚。,140,53
Cameron knows he owes a lot to the sedative right now.,此时此刻，Cameron突然很想感谢镇定剂。,54,22
"Without it, he wouldn't be able to stop, and Brian might kill him.",不然他恐怕早就被不耐烦的Brian杀了。,66,20
"Cameron opens his mouth to answer, but finds himself yanked forward suddenly, only to come to a horrible, jarring stop as the bear slams his knee into the coyote's torso.",郊狼的回答戛然而止，因为他被猛拉向前，瘦弱的身躯径直撞在熊的膝盖上。,170,34
"Cameron watches the luminous arches writhe about, convulsing, almost like they're mirroring the coyote's inner turmoil.",鲜明的拱形在Cameron眼前蠕动、抽搐，如同他混乱心绪的写照。,119,32
The knee is so big compared to himself that it seems to cover most of his chest and stomach.,与郊狼相比，熊的膝盖过于巨大，几乎覆盖了他的大部分胸部和腹部。,92,31
